Business_ID,Business_Name,Financial_Health_Score,Risk_Category,Confidence,Recommended_Loan_Amount,Recommended_Tenure_Months,Recommended_Interest_Band,Approval_Decision,Scoring_Rationale
MSME001,Balaji Residency,100.0,Low,0.922,4932799.28,36,10.5% - 12.5%,Approve,Volatility 0.22 → +11.6 | Buffer 48.4d → +9.7 | ExpRatio 0.85 → +3.0 | EMI ratio 0.00 → +2.0 | Growth 0.07 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME002,Star Transport,73.01,Medium,0.965,3238811.28,24,13.0% - 15.5%,Conditional Approval,Volatility 0.10 → +13.5 | Buffer 12.2d → +2.4 | ExpRatio 0.99 → -10.0 | EMI ratio 0.11 → -4.0 | Growth -0.04 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME003,Kanpur Provisions,34.32,High,0.914,0.0,0,N/A,Reject,Volatility 0.21 → +11.8 | Buffer -13.6d → +-2.7 | ExpRatio 1.10 → -10.0 | EMI ratio 0.38 → -12.0 | Growth 0.20 → +5.0 | GST reg 0.75 → +6.0 | Bounces 4 → -12.0 | MinBal → -6.0
MSME004,Om Sai Home Appliances,77.91,Low,0.96,4057402.64,48,10.5% - 12.5%,Approve,Volatility 0.12 → +13.3 | Buffer 21.5d → +4.3 | ExpRatio 0.92 → -10.0 | EMI ratio 0.00 → +2.0 | Growth -0.00 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME005,Bharat Family Dhaba,85.27,Low,0.967,3968006.71,36,10.5% - 12.5%,Approve,Volatility 0.10 → +13.6 | Buffer 17.4d → +3.5 | ExpRatio 0.91 → -2.0 | EMI ratio 0.05 → +0.0 | Growth 0.20 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME006,Krishna Constructions,95.0,Low,0.937,14691538.25,48,10.5% - 12.5%,Approve,Volatility 0.18 → +12.3 | Buffer 25.3d → +5.1 | ExpRatio 0.89 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.24 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME007,Shree Industries,93.78,Low,0.954,8675006.56,60,10.5% - 12.5%,Approve,Volatility 0.13 → +13.0 | Buffer 28.0d → +5.6 | ExpRatio 0.89 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.31 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME008,Star Tools,40.84,High,0.927,617149.96,24,16.0% - 20.0%,Reject,Volatility 0.16 → +12.6 | Buffer 1.2d → +0.2 | ExpRatio 1.03 → -10.0 | EMI ratio 0.18 → -8.0 | Growth 0.15 → +5.0 | GST reg 0.67 → +5.3 | Bounces 4 → -12.0 | MinBal → -6.0
MSME009,Ganesh Garments,72.05,Medium,0.941,2963860.69,24,13.0% - 15.5%,Conditional Approval,Volatility 0.17 → +12.5 | Buffer 22.1d → +4.4 | ExpRatio 0.93 → -10.0 | EMI ratio 0.09 → +0.0 | Growth -0.09 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME010,Star Farm Supplies,98.16,Low,0.936,4078708.29,48,10.5% - 12.5%,Approve,Volatility 0.18 → +12.3 | Buffer 40.1d → +8.0 | ExpRatio 0.85 → -2.0 | EMI ratio 0.00 → +2.0 | Growth 0.11 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME011,Balaji Kirana,71.39,Medium,0.962,2647659.73,24,13.0% - 15.5%,Conditional Approval,Volatility 0.11 → +13.4 | Buffer 5.8d → +1.2 | ExpRatio 0.99 → -10.0 | EMI ratio 0.10 → +0.0 | Growth 0.22 → +8.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -6.0
MSME012,Sri Manufacturing,48.9,High,0.939,1345734.42,12,16.0% - 20.0%,Reject,Volatility 0.12 → +13.3 | Buffer -2.0d → +-0.4 | ExpRatio 1.03 → -10.0 | EMI ratio 0.20 → -8.0 | Growth 0.10 → +5.0 | GST reg 0.58 → +4.7 | Bounces 2 → -6.0 | MinBal → -6.0
MSME013,Royal Pharmacy,77.22,Low,0.98,3339896.76,60,10.5% - 12.5%,Approve,Volatility 0.05 → +14.3 | Buffer 18.6d → +3.7 | ExpRatio 0.93 → -10.0 | EMI ratio 0.07 → +0.0 | Growth 0.07 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME014,Kolkata Farm Supplies,82.24,Low,0.939,5183411.6,60,10.5% - 12.5%,Approve,Volatility 0.17 → +12.4 | Buffer 22.1d → +4.4 | ExpRatio 0.91 → -2.0 | EMI ratio 0.06 → +0.0 | Growth 0.08 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME015,Sri Bakers,69.59,Medium,0.902,1053369.42,36,13.0% - 15.5%,Conditional Approval,Volatility 0.28 → +10.8 | Buffer 14.4d → +2.9 | ExpRatio 0.99 → -10.0 | EMI ratio 0.12 → -4.0 | Growth -0.02 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME016,Bharat Dairy,77.04,Low,0.98,5630566.59,60,10.5% - 12.5%,Approve,Volatility 0.02 → +14.6 | Buffer 21.2d → +4.2 | ExpRatio 0.94 → -10.0 | EMI ratio 0.00 → +2.0 | Growth 0.02 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME017,Bharat Medicals,47.49,High,0.96,1680610.12,24,16.0% - 20.0%,Reject,Volatility 0.10 → +13.5 | Buffer -3.1d → +-0.6 | ExpRatio 1.01 → -10.0 | EMI ratio 0.23 → -8.0 | Growth -0.03 → +1.0 | GST reg 0.92 → +7.3 | Bounces 2 → -6.0 | MinBal → -6.0
MSME018,Varanasi Telecom,40.03,High,0.879,1268241.54,12,16.0% - 20.0%,Reject,Volatility 0.30 → +10.5 | Buffer -3.6d → +-0.7 | ExpRatio 1.04 → -10.0 | EMI ratio 0.14 → -4.0 | Growth -0.07 → -3.0 | GST reg 0.67 → +5.3 | Bounces 2 → -6.0 | MinBal → -6.0
MSME019,Shree Cargo Movers,67.98,Medium,0.89,5412821.59,24,13.0% - 15.5%,Conditional Approval,Volatility 0.31 → +10.3 | Buffer 17.9d → +3.6 | ExpRatio 0.95 → -10.0 | EMI ratio 0.06 → +0.0 | Growth -0.11 → -3.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME020,Annapurna Kitchen,95.23,Low,0.975,4603583.86,60,10.5% - 12.5%,Approve,Volatility 0.07 → +13.9 | Buffer 31.0d → +6.2 | ExpRatio 0.87 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.03 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
MSME021,Bharat Motors,61.77,Medium,0.972,1582224.31,48,13.0% - 15.5%,Conditional Approval,Volatility 0.08 → +13.8 | Buffer 14.4d → +2.9 | ExpRatio 0.97 → -10.0 | EMI ratio 0.10 → -4.0 | Growth -0.15 → -6.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME022,Royal Hotel,83.39,Low,0.868,7192042.73,36,10.5% - 12.5%,Approve,Volatility 0.37 → +9.5 | Buffer 38.9d → +7.8 | ExpRatio 0.86 → -2.0 | EMI ratio 0.00 → +2.0 | Growth -0.39 → -6.0 | GST reg 0.92 → +7.3 | Bounces 0 → -0.0 | MinBal → +3.0
MSME023,Ganesh Wood Craft,67.73,Medium,0.926,2975562.11,24,13.0% - 15.5%,Conditional Approval,Volatility 0.21 → +11.8 | Buffer 13.1d → +2.6 | ExpRatio 1.00 → -10.0 | EMI ratio 0.17 → -4.0 | Growth 0.08 → +5.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → -2.0
MSME024,Star Medi Store,100.0,Low,0.98,3507241.71,48,10.5% - 12.5%,Approve,Volatility 0.03 → +14.6 | Buffer 49.0d → +9.8 | ExpRatio 0.82 → +3.0 | EMI ratio 0.00 → +2.0 | Growth 0.02 → +1.0 | GST reg 1.00 → +8.0 | Bounces 0 → -0.0 | MinBal → +3.0
