Business_ID,Month,Sales,Taxable_Sales,GST_Paid,GST_Liability,Return_Filing_Date,Filed_On_Time,Late_Days,Input_Tax_Credit,Output_Tax,Refund
MSME001,2025-07,630722.26,563144.88,29114.89,29114.89,2025-08-20,Yes,0,38462.49,67577.39,0.0
MSME001,2025-08,613233.23,547529.67,27469.95,27469.95,2025-09-20,Yes,0,38233.61,65703.56,0.0
MSME001,2025-09,672387.5,600345.98,21764.21,21764.21,2025-10-20,Yes,0,50277.31,72041.52,0.0
MSME001,2025-10,924711.21,825635.01,34199.19,34199.19,2025-11-20,Yes,0,64877.02,99076.2,0.0
MSME001,2025-11,1002812.92,895368.68,26876.07,26876.07,2025-12-20,Yes,0,80568.18,107444.24,0.0
MSME001,2025-12,968413.97,864655.33,44109.2,44109.2,2026-01-20,Yes,0,59649.43,103758.64,0.0
MSME001,2026-01,1072359.81,957464.12,51142.67,51142.67,2026-02-20,Yes,0,63753.03,114895.69,0.0
MSME001,2026-02,1028402.44,918216.46,45147.02,45147.02,2026-03-20,Yes,0,65038.96,110185.98,0.0
MSME001,2026-03,995068.75,888454.24,44661.44,44661.44,2026-04-20,Yes,0,61953.06,106614.51,0.0
MSME001,2026-04,800656.78,714872.12,24886.96,24886.96,2026-05-20,Yes,0,60897.7,85784.66,0.0
MSME001,2026-05,605164.17,540325.15,25420.65,25420.65,2026-06-20,Yes,0,39418.37,64839.02,0.0
MSME001,2026-06,646501.2,577233.21,27262.84,27262.84,2026-07-20,Yes,0,42005.14,69267.99,0.0
MSME002,2025-07,1084294.14,1032661.09,15650.27,15650.27,2025-08-20,Yes,0,35982.79,51633.05,0.0
MSME002,2025-08,1207472.69,1149973.99,21668.54,21668.54,2025-09-20,Yes,0,35830.16,57498.7,0.0
MSME002,2025-09,1169078.67,1113408.26,21060.32,21060.32,2025-10-20,Yes,0,34610.09,55670.41,0.0
MSME002,2025-10,1242658.24,1183484.04,19944.63,19944.63,2025-11-20,Yes,0,39229.58,59174.2,0.0
MSME002,2025-11,1010981.45,962839.48,18813.22,18813.22,2025-12-20,Yes,0,29328.75,48141.97,0.0
MSME002,2025-12,1006620.91,958686.58,14701.08,14701.08,2026-01-20,Yes,0,33233.24,47934.33,0.0
MSME002,2026-01,942463.67,897584.45,16170.4,16170.4,2026-02-20,Yes,0,28708.82,44879.22,0.0
MSME002,2026-02,1169231.91,1113554.2,20204.26,20204.26,2026-03-20,Yes,0,35473.45,55677.71,0.0
MSME002,2026-03,1127141.84,1073468.42,21990.24,21990.24,2026-04-20,Yes,0,31683.18,53673.42,0.0
MSME002,2026-04,1240960.67,1181867.3,24117.28,24117.28,2026-05-20,Yes,0,34976.08,59093.37,0.0
MSME002,2026-05,936849.33,892237.46,18037.97,18037.97,2026-06-20,Yes,0,26573.9,44611.87,0.0
MSME002,2026-06,1129749.03,1075951.46,16605.2,16605.2,2026-07-20,Yes,0,37192.37,53797.57,0.0
MSME003,2025-07,327183.54,311603.37,4187.95,4187.95,2025-08-20,Yes,0,11392.22,15580.17,0.0
MSME003,2025-08,365390.57,347991.02,7551.73,7551.73,2025-09-25,No,5,9847.82,17399.55,0.0
MSME003,2025-09,396311.56,377439.58,6134.46,6134.46,2025-10-20,Yes,0,12737.52,18871.98,0.0
MSME003,2025-10,534785.04,509319.09,7382.06,7382.06,2025-11-20,Yes,0,18083.9,25465.95,0.0
MSME003,2025-11,539967.25,514254.52,9653.75,9653.75,2025-12-20,Yes,0,16058.98,25712.73,0.0
MSME003,2025-12,346318.18,329826.84,7411.8,7411.8,2026-01-20,Yes,0,9079.54,16491.34,0.0
MSME003,2026-01,320047.0,304806.67,5240.28,5240.28,2026-03-02,No,10,10000.05,15240.33,0.0
MSME003,2026-02,318157.02,303006.69,5961.6,5961.6,2026-03-20,Yes,0,9188.74,15150.33,0.0
MSME003,2026-03,311286.27,296463.11,4517.99,4517.99,2026-04-20,Yes,0,10305.17,14823.16,0.0
MSME003,2026-04,314783.08,299793.41,5303.37,5303.37,2026-05-20,Yes,0,9686.3,14989.67,0.0
MSME003,2026-05,351803.76,335051.2,5067.6,5067.6,2026-06-20,Yes,0,11684.96,16752.56,0.0
MSME003,2026-06,300964.17,286632.54,4211.43,4211.43,2026-07-29,No,9,10120.19,14331.63,0.0
MSME004,2025-07,823641.88,698001.59,33612.65,33612.65,2025-08-20,Yes,0,92027.63,125640.29,0.0
MSME004,2025-08,945821.11,801543.31,58842.78,58842.78,2025-09-20,Yes,0,85435.01,144277.8,0.0
MSME004,2025-09,849198.4,719659.66,37417.35,37417.35,2025-10-20,Yes,0,92121.39,129538.74,0.0
MSME004,2025-10,1033606.8,875937.97,58332.16,58332.16,2025-11-20,Yes,0,99336.67,157668.83,0.0
MSME004,2025-11,1016075.25,861080.72,56583.32,56583.32,2025-12-20,Yes,0,98411.21,154994.53,0.0
MSME004,2025-12,980708.29,831108.72,64873.72,64873.72,2026-01-20,Yes,0,84725.85,149599.57,0.0
MSME004,2026-01,876620.83,742899.01,58334.37,58334.37,2026-02-20,Yes,0,75387.46,133721.82,0.0
MSME004,2026-02,766240.0,649355.93,43082.81,43082.81,2026-03-20,Yes,0,73801.26,116884.07,0.0
MSME004,2026-03,701315.32,594335.02,38127.46,38127.46,2026-04-20,Yes,0,68852.84,106980.3,0.0
MSME004,2026-04,892087.79,756006.6,34224.76,34224.76,2026-05-20,Yes,0,101856.43,136081.19,0.0
MSME004,2026-05,919159.94,778949.1,53389.54,53389.54,2026-06-20,Yes,0,86821.3,140210.84,0.0
MSME004,2026-06,795598.71,674236.19,34520.19,34520.19,2026-07-20,Yes,0,86842.32,121362.52,0.0
MSME005,2025-07,897647.54,854902.42,14493.24,14493.24,2025-08-20,Yes,0,28251.89,42745.12,0.0
MSME005,2025-08,802686.93,764463.74,12833.1,12833.1,2025-09-20,Yes,0,25390.09,38223.19,0.0
MSME005,2025-09,905874.47,862737.59,12875.85,12875.85,2025-10-20,Yes,0,30261.03,43136.88,0.0
MSME005,2025-10,971564.17,925299.21,15886.23,15886.23,2025-11-20,Yes,0,30378.73,46264.96,0.0
MSME005,2025-11,860117.43,819159.46,13373.26,13373.26,2025-12-20,Yes,0,27584.71,40957.97,0.0
MSME005,2025-12,934458.52,889960.5,16201.33,16201.33,2026-01-20,Yes,0,28296.69,44498.02,0.0
MSME005,2026-01,871823.15,830307.76,13266.67,13266.67,2026-02-20,Yes,0,28248.71,41515.39,0.0
MSME005,2026-02,1045647.39,995854.66,14758.34,14758.34,2026-03-20,Yes,0,35034.39,49792.73,0.0
MSME005,2026-03,986726.91,939739.91,18410.0,18410.0,2026-04-20,Yes,0,28576.99,46987.0,0.0
MSME005,2026-04,1094267.51,1042159.53,21557.68,21557.68,2026-05-20,Yes,0,30550.3,52107.98,0.0
MSME005,2026-05,1026712.33,977821.27,19876.33,19876.33,2026-06-20,Yes,0,29014.73,48891.06,0.0
MSME005,2026-06,1086860.62,1035105.35,13706.83,13706.83,2026-07-20,Yes,0,38048.44,51755.27,0.0
MSME006,2025-07,2350464.86,1991919.37,149774.43,149774.43,2025-08-20,Yes,0,208771.06,358545.49,0.0
MSME006,2025-08,1808294.39,1532452.87,80478.32,80478.32,2025-09-20,Yes,0,195363.2,275841.52,0.0
MSME006,2025-09,1896303.48,1607036.85,97091.93,97091.93,2025-10-20,Yes,0,192174.7,289266.63,0.0
MSME006,2025-10,2115519.04,1792812.75,130721.72,130721.72,2025-11-20,Yes,0,191984.58,322706.29,0.0
MSME006,2025-11,3142672.73,2663281.97,164038.35,164038.35,2025-12-20,Yes,0,315352.41,479390.76,0.0
MSME006,2025-12,2117095.64,1794148.85,103727.29,103727.29,2026-01-20,Yes,0,219219.5,322946.79,0.0
MSME006,2026-01,3122400.98,2646102.53,193702.24,193702.24,2026-02-20,Yes,0,282596.21,476298.45,0.0
MSME006,2026-02,2703668.81,2291244.75,156357.77,156357.77,2026-03-20,Yes,0,256066.29,412424.06,0.0
MSME006,2026-03,2764670.72,2342941.29,143550.93,143550.93,2026-04-20,Yes,0,278178.5,421729.43,0.0
MSME006,2026-04,2781612.0,2357298.31,165295.16,165295.16,2026-05-20,Yes,0,259018.54,424313.69,0.0
MSME006,2026-05,2642190.64,2239144.61,106687.6,106687.6,2026-06-20,Yes,0,296358.43,403046.03,0.0
MSME006,2026-06,2288497.79,1939404.91,115288.85,115288.85,2026-07-20,Yes,0,233804.03,349092.88,0.0
MSME007,2025-07,1456622.27,1234425.65,99206.17,99206.17,2025-08-20,Yes,0,122990.45,222196.62,0.0
MSME007,2025-08,1840821.54,1560018.25,76722.87,76722.87,2025-09-20,Yes,0,204080.41,280803.29,0.0
MSME007,2025-09,1837008.56,1556786.92,109593.8,109593.8,2025-10-20,Yes,0,170627.85,280221.64,0.0
MSME007,2025-10,1655665.93,1403106.72,106476.05,106476.05,2025-11-20,Yes,0,146083.16,252559.21,0.0
MSME007,2025-11,1857819.16,1574423.02,79513.75,79513.75,2025-12-20,Yes,0,203882.39,283396.14,0.0
MSME007,2025-12,1880260.36,1593440.98,100273.12,100273.12,2026-01-20,Yes,0,186546.25,286819.38,0.0
MSME007,2026-01,1978734.19,1676893.38,121392.96,121392.96,2026-02-20,Yes,0,180447.84,301840.81,0.0
MSME007,2026-02,1931545.19,1636902.7,117718.52,117718.52,2026-03-20,Yes,0,176923.97,294642.49,0.0
MSME007,2026-03,2059493.08,1745333.12,88403.84,88403.84,2026-04-20,Yes,0,225756.12,314159.96,0.0
MSME007,2026-04,2406139.61,2039101.36,110913.88,110913.88,2026-05-20,Yes,0,256124.36,367038.25,0.0
MSME007,2026-05,2303363.02,1952002.56,146703.27,146703.27,2026-06-20,Yes,0,204657.19,351360.46,0.0
MSME007,2026-06,2007703.4,1701443.56,96212.94,96212.94,2026-07-20,Yes,0,210046.91,306259.84,0.0
MSME008,2025-07,839664.93,711580.45,47471.16,47471.16,2025-08-20,Yes,0,80613.32,128084.48,0.0
MSME008,2025-08,816363.46,691833.44,47221.83,47221.83,2025-09-26,No,6,77308.19,124530.02,0.0
MSME008,2025-09,986050.72,835636.2,44237.48,44237.48,2025-10-20,Yes,0,106177.04,150414.52,0.0
MSME008,2025-10,1160962.67,983866.67,57024.37,57024.37,2025-11-20,Yes,0,120071.63,177096.0,0.0
MSME008,2025-11,1313732.97,1113333.03,53963.2,53963.2,2025-12-22,No,2,146436.74,200399.94,0.0
MSME008,2025-12,1052396.38,891861.34,63774.26,63774.26,2026-01-20,Yes,0,96760.79,160535.04,0.0
MSME008,2026-01,976105.34,827207.92,53690.7,53690.7,2026-02-20,Yes,0,95206.73,148897.42,0.0
MSME008,2026-02,1091229.62,924770.86,46176.3,46176.3,2026-03-20,Yes,0,120282.46,166458.76,0.0
MSME008,2026-03,1097167.84,929803.25,69368.48,69368.48,2026-04-21,No,1,97996.1,167364.59,0.0
MSME008,2026-04,1238353.39,1049452.03,65029.34,65029.34,2026-05-29,No,9,123872.02,188901.36,0.0
MSME008,2026-05,1151171.33,975568.92,44670.66,44670.66,2026-06-20,Yes,0,130931.75,175602.41,0.0
MSME008,2026-06,791102.99,670426.26,53614.88,53614.88,2026-07-20,Yes,0,67061.85,120676.73,0.0
MSME009,2025-07,1069004.3,954468.12,48394.36,48394.36,2025-08-20,Yes,0,66141.81,114536.18,0.0
MSME009,2025-08,1236588.67,1104097.03,42945.66,42945.66,2025-09-20,Yes,0,89545.99,132491.64,0.0
MSME009,2025-09,1440311.91,1285992.78,66120.3,66120.3,2025-10-20,Yes,0,88198.83,154319.13,0.0
MSME009,2025-10,1457692.94,1301511.55,54519.37,54519.37,2025-11-20,Yes,0,101662.02,156181.39,0.0
MSME009,2025-11,1857701.45,1658662.01,81699.78,81699.78,2025-12-20,Yes,0,117339.66,199039.44,0.0
MSME009,2025-12,1368861.81,1222198.04,64050.41,64050.41,2026-01-20,Yes,0,82613.36,146663.77,0.0
MSME009,2026-01,998568.82,891579.3,40737.31,40737.31,2026-02-20,Yes,0,66252.21,106989.52,0.0
MSME009,2026-02,1201797.63,1073033.6,53665.42,53665.42,2026-03-20,Yes,0,75098.61,128764.03,0.0
MSME009,2026-03,1135517.13,1013854.58,36519.8,36519.8,2026-04-20,Yes,0,85142.75,121662.55,0.0
MSME009,2026-04,1219960.55,1089250.49,46768.02,46768.02,2026-05-20,Yes,0,83942.04,130710.06,0.0
MSME009,2026-05,1237238.08,1104676.86,36163.37,36163.37,2026-06-20,Yes,0,96397.85,132561.22,0.0
MSME009,2026-06,1151067.21,1027738.58,46405.26,46405.26,2026-07-20,Yes,0,76923.37,123328.63,0.0
MSME010,2025-07,934910.44,890390.9,12226.66,12226.66,2025-08-20,Yes,0,32292.88,44519.54,0.0
MSME010,2025-08,815134.3,776318.38,11908.58,11908.58,2025-09-20,Yes,0,26907.34,38815.92,0.0
MSME010,2025-09,970148.83,923951.27,15130.92,15130.92,2025-10-20,Yes,0,31066.65,46197.56,0.0
MSME010,2025-10,725534.05,690984.81,9805.57,9805.57,2025-11-20,Yes,0,24743.67,34549.24,0.0
MSME010,2025-11,858373.48,817498.55,11331.27,11331.27,2025-12-20,Yes,0,29543.66,40874.93,0.0
MSME010,2025-12,693474.26,660451.68,8930.52,8930.52,2026-01-20,Yes,0,24092.07,33022.58,0.0
MSME010,2026-01,800960.36,762819.39,12772.94,12772.94,2026-02-20,Yes,0,25368.03,38140.97,0.0
MSME010,2026-02,721401.15,687048.71,10576.6,10576.6,2026-03-20,Yes,0,23775.84,34352.44,0.0
MSME010,2026-03,643739.44,613085.18,12737.5,12737.5,2026-04-20,Yes,0,17916.75,30654.26,0.0
MSME010,2026-04,798594.62,760566.3,14461.62,14461.62,2026-05-20,Yes,0,23566.69,38028.32,0.0
MSME010,2026-05,1062272.5,1011688.1,13147.71,13147.71,2026-06-20,Yes,0,37436.7,50584.4,0.0
MSME010,2026-06,1151851.76,1097001.68,23691.12,23691.12,2026-07-20,Yes,0,31158.96,54850.08,0.0
MSME011,2025-07,683888.14,651322.04,10064.0,10064.0,2025-08-20,Yes,0,22502.1,32566.1,0.0
MSME011,2025-08,809502.68,770954.93,15157.74,15157.74,2025-09-20,Yes,0,23390.01,38547.75,0.0
MSME011,2025-09,850105.89,809624.66,12209.92,12209.92,2025-10-20,Yes,0,28271.32,40481.23,0.0
MSME011,2025-10,999337.31,951749.82,14232.12,14232.12,2025-11-20,Yes,0,33355.37,47587.49,0.0
MSME011,2025-11,917253.72,873574.97,14238.7,14238.7,2025-12-20,Yes,0,29440.04,43678.75,0.0
MSME011,2025-12,820808.09,781721.99,11265.25,11265.25,2026-01-20,Yes,0,27820.85,39086.1,0.0
MSME011,2026-01,763981.05,727601.0,9829.91,9829.91,2026-02-20,Yes,0,26550.14,36380.05,0.0
MSME011,2026-02,823083.63,783889.17,17328.78,17328.78,2026-03-20,Yes,0,21865.68,39194.46,0.0
MSME011,2026-03,806022.03,767640.03,15575.19,15575.19,2026-04-20,Yes,0,22806.81,38382.0,0.0
MSME011,2026-04,928788.08,884560.08,15162.21,15162.21,2026-05-20,Yes,0,29065.79,44228.0,0.0
MSME011,2026-05,978499.89,931904.66,19814.32,19814.32,2026-06-20,Yes,0,26780.91,46595.23,0.0
MSME011,2026-06,944679.99,899695.23,13550.91,13550.91,2026-07-20,Yes,0,31433.85,44984.76,0.0
MSME012,2025-07,1793761.35,1520136.74,120967.17,120967.17,2025-09-01,No,12,152657.45,273624.61,0.0
MSME012,2025-08,2315326.71,1962141.28,152883.89,152883.89,2025-09-20,Yes,0,200301.54,353185.43,0.0
MSME012,2025-09,2322717.61,1968404.75,155006.72,155006.72,2025-10-20,Yes,0,199306.14,354312.86,0.0
MSME012,2025-10,2228535.53,1888589.43,92847.24,92847.24,2025-12-08,No,18,247098.86,339946.1,0.0
MSME012,2025-11,2278532.89,1930960.08,128626.86,128626.86,2025-12-20,Yes,0,218945.95,347572.81,0.0
MSME012,2025-12,2163485.18,1833462.02,109261.5,109261.5,2026-01-20,Yes,0,220761.66,330023.16,0.0
MSME012,2026-01,1777511.15,1506365.38,101641.68,101641.68,2026-02-20,Yes,0,169504.09,271145.77,0.0
MSME012,2026-02,1768953.39,1499113.04,87158.35,87158.35,2026-04-02,No,13,182681.99,269840.35,0.0
MSME012,2026-03,2107984.69,1786427.7,88330.68,88330.68,2026-05-04,No,14,233226.31,321556.99,0.0
MSME012,2026-04,2087530.69,1769093.81,92766.8,92766.8,2026-05-20,Yes,0,225670.09,318436.88,0.0
MSME012,2026-05,2172160.66,1840814.12,110358.34,110358.34,2026-06-20,Yes,0,220988.2,331346.54,0.0
MSME012,2026-06,2007320.69,1701119.23,87970.9,87970.9,2026-07-28,No,8,218230.56,306201.46,0.0
MSME013,2025-07,783087.63,699185.38,21844.9,21844.9,2025-08-20,Yes,0,62057.35,83902.25,0.0
MSME013,2025-08,760481.52,679001.36,24727.21,24727.21,2025-09-20,Yes,0,56752.95,81480.16,0.0
MSME013,2025-09,761017.18,679479.62,27024.99,27024.99,2025-10-20,Yes,0,54512.57,81537.56,0.0
MSME013,2025-10,763451.43,681653.06,30876.49,30876.49,2025-11-20,Yes,0,50921.88,81798.37,0.0
