Date,Description,Credit,Debit,Running_Balance
2024-01-01,UPI-GPay-Merchant-Daily-Payout,29697.0,0.0,279697.0
2024-01-01,UPI-OUT-Customs & Octroi Duty Guwahati,0.0,6207.0,273490.0
2024-01-01,IMPS-INW-Merchant Settlement,27255.0,0.0,300745.0
2024-01-02,NEFT-INW-Supermarket Distributor Payout,41019.0,0.0,341764.0
2024-01-02,CHQ-OUT-PEPSICO INDIA HOLDINGS,0.0,89879.0,251885.0
2024-01-02,UPI-PhonePe-Corporate-Settlement,24438.0,0.0,276323.0
2024-01-03,IMPS-OUT-Staff Salary Disbursal,0.0,60000.0,216323.0
2024-01-03,UPI-OUT-Local Transport Charges,0.0,9273.0,207050.0
2024-01-04,UPI-OUT-Customs & Octroi Duty Guwahati,0.0,7105.0,199945.0
2024-01-04,CHQ-OUT-PEPSICO INDIA HOLDINGS,0.0,94627.0,105318.0
2024-01-05,UPI-OUT-Shop Warehouse Rent,0.0,35000.0,70318.0
2024-01-05,IMPS-INW-Merchant Settlement,21393.0,0.0,91711.0
2024-01-05,UPI-BharatPe-Bulk-Settlement,18014.0,0.0,109725.0
2024-01-05,UPI-BharatPe-Bulk-Settlement,43542.0,0.0,153267.0
2024-01-06,UPI-GPay-Merchant-Daily-Payout,19619.0,0.0,172886.0
2024-01-06,IMPS-INW-Merchant Settlement,35090.0,0.0,207976.0
2024-01-07,UPI-BharatPe-Bulk-Settlement,15918.0,0.0,223894.0
2024-01-07,UPI-OUT-Shop Warehouse Rent,0.0,35000.0,188894.0
2024-01-08,UPI-BharatPe-Bulk-Settlement,28529.0,0.0,217423.0
2024-01-08,Cash Deposit-Bulk-Guwahati Main Branch,123457.0,0.0,340880.0
2024-01-09,UPI-PhonePe-Corporate-Settlement,18092.0,0.0,358972.0
2024-01-09,IMPS-INW-Merchant Settlement,29385.0,0.0,388357.0
2024-01-09,IMPS-OUT-Staff Salary Disbursal,0.0,60000.0,328357.0
2024-01-10,UPI-GPay-Merchant-Daily-Payout,17302.0,0.0,345659.0
2024-01-10,IMPS-INW-Merchant Settlement,21998.0,0.0,367657.0
2024-01-11,IMPS-OUT-Staff Salary Disbursal,0.0,60000.0,307657.0
2024-01-11,UPI-OUT-Customs & Octroi Duty Guwahati,0.0,13483.0,294174.0
2024-01-11,CHQ-OUT-PEPSICO INDIA HOLDINGS,0.0,55290.0,238884.0
2024-01-12,NEFT-INW-Supermarket Distributor Payout,19355.0,0.0,258239.0
2024-01-12,IMPS-INW-Merchant Settlement,20542.0,0.0,278781.0
2024-01-12,IMPS-INW-Merchant Settlement,21249.0,0.0,300030.0
2024-01-13,IMPS-INW-Merchant Settlement,15381.0,0.0,315411.0
2024-01-13,UPI-OUT-Shop Warehouse Rent,0.0,35000.0,280411.0
2024-01-13,Cash Withdraw-ATM-Self,0.0,14817.0,265594.0
2024-01-14,UPI-OUT-Shop Warehouse Rent,0.0,35000.0,230594.0
2024-01-14,UPI-BharatPe-Bulk-Settlement,41904.0,0.0,272498.0
2024-01-14,RTGS-OUT-NESTLE INDIA DISTRIBUTOR,0.0,46499.0,225999.0
2024-01-15,RTGS-INW-Regional Sub-Stockist,149603.0,0.0,375602.0
2024-01-15,UPI-OUT-Shop Warehouse Rent,0.0,35000.0,340602.0
2024-01-16,UPI-PhonePe-Corporate-Settlement,18204.0,0.0,358806.0
2024-01-16,RTGS-INW-Regional Sub-Stockist,137805.0,0.0,496611.0
2024-01-16,UPI-OUT-Local Transport Charges,0.0,7452.0,489159.0
2024-01-17,UPI-OUT-Local Transport Charges,0.0,3794.0,485365.0
2024-01-17,RTGS-INW-Regional Sub-Stockist,115785.0,0.0,601150.0
2024-01-17,UPI-OUT-Customs & Octroi Duty Guwahati,0.0,7212.0,593938.0
2024-01-17,RTGS-OUT-NESTLE INDIA DISTRIBUTOR,0.0,40737.0,553201.0
2024-01-18,UPI-OUT-Shop Warehouse Rent,0.0,35000.0,518201.0
2024-01-18,UPI-GPay-Merchant-Daily-Payout,26694.0,0.0,544895.0
2024-01-18,Cash Withdraw-ATM-Self,0.0,7444.0,537451.0
2024-01-19,CHQ-OUT-COCA COLA BEVERAGES,0.0,5157.0,532294.0
2024-01-19,IMPS-INW-Merchant Settlement,33654.0,0.0,565948.0
2024-01-20,Cash Deposit-Bulk-Guwahati Main Branch,72162.0,0.0,638110.0
2024-01-20,NEFT-INW-Supermarket Distributor Payout,31547.0,0.0,669657.0
2024-01-20,RTGS-INW-Regional Sub-Stockist,131866.0,0.0,801523.0
2024-01-21,UPI-BharatPe-Bulk-Settlement,17590.0,0.0,819113.0
2024-01-21,Cash Deposit-Bulk-Guwahati Main Branch,56044.0,0.0,875157.0
2024-01-21,Cash Deposit-Bulk-Guwahati Main Branch,120601.0,0.0,995758.0
2024-01-22,RTGS-INW-Regional Sub-Stockist,93377.0,0.0,1089135.0
2024-01-22,Cash Withdraw-ATM-Self,0.0,7670.0,1081465.0
2024-01-22,CHQ-OUT-PEPSICO INDIA HOLDINGS,0.0,61081.0,1020384.0
2024-01-23,UPI-GPay-Merchant-Daily-Payout,11467.0,0.0,1031851.0
2024-01-23,NEFT-OUT-AMUL DAIRY PRODUCTS,0.0,107451.0,924400.0
2024-01-23,UPI-BharatPe-Bulk-Settlement,14391.0,0.0,938791.0
2024-01-23,IMPS-INW-Merchant Settlement,21611.0,0.0,960402.0
2024-01-24,CHQ-OUT-PEPSICO INDIA HOLDINGS,0.0,96482.0,863920.0
2024-01-24,RTGS-INW-Regional Sub-Stockist,112273.0,0.0,976193.0
2024-01-24,UPI-PhonePe-Corporate-Settlement,36198.0,0.0,1012391.0
2024-01-25,IMPS-INW-Merchant Settlement,40193.0,0.0,1052584.0
